Annee,Manifest,firstPage
2001,https://gallica.bnf.fr/iiif/ark:/12148/btv1b55014323p/manifest.json,/Users/jacob/Desktop/first-pages/2001.png
2002,https://gallica.bnf.fr/iiif/ark:/12148/btv1b550143244/manifest.json,/Users/jacob/Desktop/first-pages/2002.png
2003,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2003.json,/Users/jacob/Desktop/first-pages/page_001_FDA2003.png
2004,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2004.json,/Users/jacob/Desktop/first-pages/page_001_FDA2004.png
2005,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2005.json,/Users/jacob/Desktop/first-pages/page_001_FDA2005.png
2006,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2006.json,/Users/jacob/Desktop/first-pages/page_001_FDA2006.png
2007,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2007.json,/Users/jacob/Desktop/first-pages/page_001_FDA2007.png
2008,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2008.json,/Users/jacob/Desktop/first-pages/page_001_FDA2008.png
2009,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2009.json,/Users/jacob/Desktop/first-pages/page_001_FDA2009.png
2010,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2010.json,/Users/jacob/Desktop/first-pages/page_001_FDA2010.png
2011,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2011.json,/Users/jacob/Desktop/first-pages/page_001_FDA2011.png
2012,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2012.json,/Users/jacob/Desktop/first-pages/page_001_FDA2012.png
2013,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2013.json,/Users/jacob/Desktop/first-pages/page_001_FDA2013.png
2014,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2014.json,/Users/jacob/Desktop/first-pages/page_001_FDA2014.png
2015,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2015.json,/Users/jacob/Desktop/first-pages/page_001_FDA2015.png
2016,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2016.json,/Users/jacob/Desktop/first-pages/page_001_FDA2016.png
2017,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2017.json,/Users/jacob/Desktop/first-pages/page_001_FDA2017.png
2018,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2018.json,/Users/jacob/Desktop/first-pages/page_001_FDA2018.png
2019,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2019.json,/Users/jacob/Desktop/first-pages/page_001_FDA2019.png
2020,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2020.json,/Users/jacob/Desktop/first-pages/page_001_FDA2020.png
2021,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2021.json,/Users/jacob/Desktop/first-pages/page_001_FDA2021.png
2022,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2022.json,/Users/jacob/Desktop/first-pages/page_001_FDA2022.png
2023,https://raw.githubusercontent.com/ARVEST-APP/arvest-workshops/refs/heads/main/resources/manifests/dracor/progs/2023.json,/Users/jacob/Desktop/first-pages/page_001_FDA2023.png
